"","Municipalities","X2010","X2011","X2012","X2013","X2014","X2015","X2016","X2017","X2018","X2019","X2020"
"77","Silkeborg",0.113018614165753,0.112469492650119,0.559734909546839,0.111924428625792,0.22313210536298,0.555456807678635,0.330691475876057,0.986441904052084,0.760671129270625,1.07464482988372,0.744474932465488
"78","Skanderborg",0.174510933109959,0.693036713619904,0.172390015170321,0,0.171892189218922,0.680480419175938,0,0.496680518534461,0.490532718532326,0.806789944170136,0.638182456364275
"79","Syddjurs",0.483185156551991,0,0.478297261748176,0.238697665536831,0,0.240084509747431,0.477452314450094,0.237976249970253,0.470942827540737,1.63673774784886,0.232763837810158
"80","Aarhus",0.293494211641937,0.257271125175266,0.381503441478962,0.219371094411051,0.401367118153217,0.398472318434556,0.786356116489585,0.59579842947534,0.440630865898402,0.752898659840386,0.914330124606052
"81","Herning",0.233786879880301,1.16479522899874,1.15810441469403,0.808360759859114,0.690909928375671,0.345367470989132,1.02747936478942,0.565700450297558,1.46506936539957,0.562322165615124,0.785396120143167
"82","Holstebro",0.525799214806506,0.524833365406483,0.174968943012615,0.349320571488455,0.348808817886916,1.21751834974084,1.56084701964933,0.172043010752688,0.855900578588791,1.19649938465746,1.87742144697991
"83","Ikast-Brande",0.248065092280214,1.23240738458505,0.24595405578238,0.741326480181872,0.492586572090045,0.492635105177595,0.490220108828864,0.732046558161099,1.69940035444636,1.21118162879705,1.69208827866277
"84","Lemvig",0.458926112895824,0,0.467639356528245,0.471186919851105,0.477714613290021,0,0.490220108828864,0,0,0.5000500050005,0
"85","Ringkøbing-Skjern",1.36894881842605,0.861059447544258,0.172735438402543,0.52147612508474,0.17515282083618,0.175309421128291,0.70004725318959,0.175370909473537,0.701692833961933,1.0539258738802,1.23688023465385
"86","Skive",0.830961630346719,0.416788229900388,0.209995800083998,1.48019707766806,0.426057688210984,0.857614545142686,1.07206415231887,0.214868929952729,2.57516255713642,2.37971616476289,1.74478201129746
"87","Struer",1.33434150246853,0.450653447498873,0.452529640691465,0,0,0,0.465679426282947,1.87379959713309,0.940291490362012,3.31078844061864,1.90150218672751
"88","Viborg",0.428678598220984,0.534770797236304,1.70541148381458,0.848059533779271,0.423343140782761,0.315839343054166,0.626461744069495,0.621909885257626,0.825738261614525,0.926755429242223,1.75400583980768
"89","Brønderslev",0.558596804826276,0.279415462851714,1.39844492923869,0.280898876404494,0.842057989726892,1.9563455465191,3.32898715565789,1.10717449069973,0.826696795172091,0.274951883420401,0.275451740855002
"90","Frederikshavn",0.483816343316077,0.324801870858776,0.163510906177442,0.329082682023858,0.165404082172748,0.331251966808553,0.497958370680211,2.15388693750414,1.16395078150981,0.66681114241419,0
"91","Hjørring",0.449081628070596,0,0.453322856538427,0.608207763772105,0.611574038682058,0.76575541771958,0.611517940407577,1.53122942410461,0.612961061648559,1.08250212634346,2.17111486748445
"92","Jammerbugt",0.513782207722147,0.516355562440296,0.258993551060579,1.03634997538669,0.521498787515319,0.522288668947327,1.03987937399262,0.777584821544283,1.55287540762979,0.260010400416017,3.3921302578019
"93","Læsø",25.3936008125952,0,0,0,0,0,0,0,0,0,0
"94","Mariagerfjord",0.469439489249836,0.469792351780513,0.235687855004832,0.474935290066728,0,0.712014050410595,1.18677458403551,0.950886701849475,0.474777448071217,0.713351563428843,2.15311004784689
"95","Morsø",0,0.925925925925926,0.465679426282947,0.943885978573788,0.476122458696377,0.480399692544197,0,1.45172997822405,0,0.490124001372347,0.493900330913222
"96","Rebild",0,0.345542501727713,0.345889107951991,0.346428323979769,0.347294575258734,0,0,0,0,0.334269287337879,1.99249493574204
"97","Thisted",0.441530344172903,0.886033890796323,0.222677473946736,0.224749404414078,0.678272665611576,0.453741095331004,0.227319224386806,0.228175055902889,1.37249519626681,1.37425561154375,2.30292702024273
"98","Vesthimmerlands",0.787277594079672,0.264103105852525,0.266425107902169,0.798169531208429,1.33408041836762,1.06954731409931,0.804375804375804,1.60922623038756,1.07304772379752,0.538778588938876,1.63367549759033
"99","Aalborg",0.557170788042102,1.10448420587586,0.845174056139444,0.442373481184381,0.826008580771492,0.625586487331874,0.57056999942943,1.08522815742414,1.31111922756347,1.53265958237349,1.19774271565127
"100","total_charged_rapes",0.514929523312576,0.550297556319178,0.517873257598401,0.480131823851236,0.495803000940959,0.56363262107721,0.769196939121829,0.920197002175596,1.03092961829658,1.10745957557258,1.23652637072812
